model,video_id,true_label,prediction,is_correct
qwen2,5RmRn2aAu-s,real,real,True
qwen2,nl-Cpg9sxTU,real,real,True
qwen2,SqW2Fpvl2Qc,real,real,True
qwen2,Q9tsQ1V_kPw,real,real,True
qwen2,aI_QfvFKqII,real,real,True
qwen2,uo_rYpnWy3U,real,real,True
qwen2,1AVGR6IiWL8,real,real,True
qwen2,RWJz4DXKuXk,real,real,True
qwen2,Czi_TTJ1wOc,real,real,True
qwen2,ahNWnm0OiMU,real,real,True
qwen2,7YxFNBu1Iwg,fake,fake,True
qwen2,NdY2iUbqmp4,fake,real,False
qwen2,tJNyBMmN-M4,fake,real,False
qwen2,b--HebOnkxo,fake,real,False
qwen2,g6VR-B0GaS4,fake,real,False
qwen2,79WKMD-3vMM,fake,real,False
qwen2,WbLcKRyAdI0,fake,real,False
qwen2,t7_0drHBuqc,fake,real,False
qwen2,2V2cJvNK2_U,fake,real,False
qwen2,BG5e0HkZQX0,fake,real,False
qwen2,UUMKX_-MSfc,fake,real,False
qwen2,UDYLZB3xfr4,fake,fake,True
qwen2,3wegtHC506E,fake,real,False
qwen2,1rTX_Dgn4f4,fake,real,False
qwen2,ixvux5TLyAk,fake,real,False
qwen2,5dxZ5L6QQQ8,fake,real,False
qwen2,iIZHVTjz1vg,fake,real,False
qwen2,lImO-bdkeTQ,fake,real,False
qwen2,OIb9WRqP4_Y,fake,fake,True
qwen2,Qqmh-MVbIBI,fake,real,False
qwen2,q7x7IWPIAgw,fake,real,False
qwen2,jjDxqkeiZVE,fake,real,False
qwen2,Wk2J6vZLItM,fake,real,False
qwen2,VJXVjj8L4Go,fake,real,False
qwen2,9cXvJEd_mCA,fake,real,False
qwen2,F0rikEVhLD0,fake,real,False
qwen2,706Tef5WwNs,fake,real,False
qwen2,zXTdSr9RMj4,fake,fake,True
qwen2,ezNR8inl6dA,fake,real,False
qwen2,oehQMsxzPNQ,fake,real,False
qwen2,z125qBav35A,fake,fake,True
qwen2,gEhuVWEMZbM,fake,real,False
qwen2,xHT-Df8fTLE,fake,real,False
qwen2,PipM3s4gr1Y,fake,real,False
qwen2,nTSVJ0eNGVE,fake,real,False
qwen2,oxJpIQpCtkg,fake,real,False
qwen2,n1XJ9pZEXFY,fake,real,False
qwen2,kMviTwlqe54,fake,fake,True
qwen2,5TTiidPkXvw,fake,real,False
qwen2,11P0Bc14bOk,fake,real,False
qwen2,cOO8ZvQz6MI,fake,fake,True
qwen2,-3Vm7uZ0C38,fake,real,False
qwen2,cOzCPQLncfY,fake,real,False
qwen2,7Ia8RWaT-SI,fake,real,False
qwen2,jaVeTaL36lM,fake,real,False
qwen2,RRY0IcjuvAk,fake,real,False
qwen2,DGiLsAqY7X0,fake,real,False
qwen2,k_kl8-WrwPw,fake,real,False
qwen2,bk8ElX8H_FY,fake,real,False
qwen2,Mh5MgjO0wQQ,fake,fake,True
qwen2,Sjc2th58Sck,fake,real,False
qwen2,pS-ACkqcWmA,fake,real,False
qwen2,M0ce323R1Sg,fake,real,False
qwen2,j5mg3WLG4rk,fake,real,False
qwen2,ic3DsOTxUJQ,fake,fake,True
qwen2,PkWGTvDapO4,fake,real,False
qwen2,vmXffmFJ9Sw,fake,real,False
qwen2,v6AnCELXV4Q,fake,real,False
qwen2,C0gIZMD40NA,fake,real,False
qwen2,IQ2yOgnNyBo,fake,real,False
qwen2,3A48BQnNb74,fake,fake,True
qwen2,TxxV92O88PM,fake,real,False
qwen2,c80YaYSHlVI,fake,real,False
qwen2,bfDsYQAmNvU,fake,real,False
